GIGASAIT import v3.2 — 2026-09-06 13:56 — товаров: 500
категории: appliances=25, auto=25, bags=25, beauty=25, books=25, digital=25, electronics=25, fashion-men=25, fashion-women=25, food=25, furniture=25, gaming=25, garden=25, health=25, home=25, jewelry=25, kids=25, office=25, pets=25, sport=25
источники: wildberries=354, yandex=146

appliances    | Кофемашины          | wildberries| 259430199   |    97360 | 3 фото | Meferi            | Кофемашина встраиваемая MCM6010BK COMFORT PLUS
appliances    | Кофемашины          | wildberries| 453386377   |    66993 | 3 фото | DeLonghi          | Кофемашина автоматическая Rivelia Perfetto EXAM440.55.W
appliances    | Кофемашины          | wildberries| 495297292   |    39616 | 3 фото | DeLonghi          | Кофемашина ECAM 350.15.B
appliances    | Кофемашины          | wildberries| 843091929   |     2694 | 3 фото | No name           | Портативная кофемашина с автоматическим нагревом кофеварка
appliances    | Кофемашины          | wildberries| 999114114   |     2001 | 3 фото | No name           | Портативная кофемашина с автоматическим нагревом
appliances    | Микроволновки       | wildberries| 45057250    |      124 | 3 фото | Velzen            | Крышка для СВЧ печи для микроволновки 25 см
appliances    | Микроволновки       | wildberries| 222334735   |      408 | 3 фото | Sugar&Spice       | Крышка для микроволновки и холодильника D 25 см с клапаном
appliances    | Микроволновки       | wildberries| 222334736   |      510 | 3 фото | Sugar&Spice       | Крышка для микроволновки и холодильника D 25 см с клапаном
appliances    | Микроволновки       | wildberries| 371887925   |      125 | 3 фото | KONONO            | Крышка для микроволновки СВЧ печи 25 см
appliances    | Микроволновки       | wildberries| 988748697   |      176 | 3 фото | Velzen            | Крышка для СВЧ печи для микроволновки 25 см
appliances    | Пылесосы            | wildberries| 115767905   |    10714 | 3 фото | POLARIS           | Робот-пылесос PVCR G2 0726W Wi-Fi IQ Home c влажной уборкой
appliances    | Пылесосы            | wildberries| 269007328   |    15259 | 3 фото | iLife             | Робот пылесос со станцией самоочистки A12 Pro с алисой, 3кПа
appliances    | Пылесосы            | wildberries| 371601695   |    15829 | 3 фото | Neatsvor          | Робот пылесос со станцией самоочистки S700 13000Па
appliances    | Пылесосы            | wildberries| 463419233   |    14191 | 3 фото | Xiaomi            | Робот-пылесос Xiaomi Robot Vacuum S40C
appliances    | Пылесосы            | wildberries| 1227940163  |     5655 | 3 фото | CleanWow          | Робот пылесос для влажной и сухой уборки
appliances    | Холодильники        | wildberries| 256408520   |    74990 | 3 фото | Hotpoint          | Встраиваемый двухкамерный холодильник HBH 20
appliances    | Холодильники        | wildberries| 500251897   |    86986 | 3 фото | Liebherr          | Двухкамерный холодильник LIEBHERR NO FROST CNd 5704
appliances    | Холодильники        | wildberries| 971483406   |    24109 | 3 фото | Indesit           | Двухкамерный холодильник ES 18 A
appliances    | Холодильники        | wildberries| 1009036621  |    70558 | 3 фото | Beko              | Холодильник двухкамерный встраиваемый BCNA306E2S, 284 л
appliances    | Холодильники        | wildberries| 1135322583  |    32549 | 3 фото | Indesit           | Двухкамерный холодильник ITS 5181I W
appliances    | Чайники             | wildberries| 224651779   |     1860 | 3 фото | Delta             | Чайник электрический
appliances    | Чайники             | wildberries| 243495212   |     9688 | 3 фото | red solution      | Чайник электрический COLORSENSE KG1330D
appliances    | Чайники             | wildberries| 282405622   |     1165 | 3 фото | HomeStar          | Чайник электрический HS-1007, 1.7 л, черный
appliances    | Чайники             | wildberries| 433044523   |     4452 | 3 фото | Uakeen            | Электрический чайник
appliances    | Чайники             | wildberries| 461260510   |     1208 | 2 фото | Delta             | Чайник электрический DL 1106 белый 1,7л. пластик
auto          | Автохимия           | wildberries| 114473547   |      322 | 3 фото | AVS               | Автошампунь для бесконтактной мойки 1 л
auto          | Автохимия           | wildberries| 258036980   |      440 | 2 фото | K/PARTS           | Автошампунь для бесконтактной мойки 1л
auto          | Автохимия           | wildberries| 344110288   |      224 | 2 фото | ASTROHIM          | Автошампунь с воском, 250 мл.
auto          | Автохимия           | wildberries| 480089656   |      822 | 3 фото | SHIMA             | Автошампунь для бесконтактной мойки 1 л SECRET PINK
auto          | Автохимия           | wildberries| 1113702893  |      986 | 1 фото | LAVR              | Автошампунь для бесконтактной мойки LIGHT 5 л
auto          | Аксессуары          | wildberries| 267860636   |      503 | 3 фото | YCAR              | Держатель для телефона в машину
auto          | Аксессуары          | wildberries| 430117605   |     1422 | 3 фото | НАЙДИ             | Органайзер настенный для школы расписания и заметок
auto          | Аксессуары          | wildberries| 430117606   |     1505 | 3 фото | НАЙДИ             | Органайзер настенный школьный мудборд
auto          | Аксессуары          | wildberries| 649101479   |      661 | 3 фото | No name           | Держатель для телефона и планшета в машину на подголовник
auto          | Аксессуары          | wildberries| 1332915992  |      691 | 3 фото | Аливан            | 1 класс 2026 фоторамка подарок на 1 сентября
auto          | Видеорегистраторы   | wildberries| 111982308   |     6053 | 3 фото | SECTEC            | Видеорегистратор 8-ми канальный AHD/CVI/TVI/CVBS/IP
auto          | Видеорегистраторы   | wildberries| 328046426   |     4714 | 3 фото | TIANDY            | Видеорегистратор с POE TC-R3108 Spec:I/B/P8/C/Eu/L/S/V2.0
auto          | Видеорегистраторы   | wildberries| 409917590   |     5567 | 3 фото | No name           | Видеорегистратор IP ST-NVR-P0406K15 4-канальный (с 4PoE)
auto          | Видеорегистраторы   | wildberries| 1149418595  |     7887 | 2 фото | Hikvision         | DS-7608NXI-K1 видеорегистратор
auto          | Видеорегистраторы   | wildberries| 1212173953  |     1429 | 3 фото | No name           | Видеорегистратор для автомобиля с камерой заднего вида
auto          | Масла               | wildberries| 103950518   |     3337 | 3 фото | ZIC               | X9 моторное масло 5W40 синтетическое 4л
auto          | Масла               | wildberries| 179035085   |     3053 | 3 фото | Лукойл            | Масло моторное 5w40 GENESIS ARMORTECH SQ, SQ/CF синтетика 4л
auto          | Масла               | wildberries| 179114540   |     2842 | 3 фото | Лукойл            | Масло моторное 5w40 GENESIS ARMORTECH CN синтетика 4л
auto          | Масла               | wildberries| 179115217   |     2994 | 3 фото | Лукойл            | Масло моторное 5w40 GENESIS UNIVERSAL синт 4л
auto          | Масла               | wildberries| 789063835   |     1108 | 3 фото | REPSOL            | Масло моторное 5w40 ELITE COMPETICION синтет A3/B4, SN/CF 1л
auto          | Шины                | wildberries| 72734878    |      792 | 3 фото | AutoFat           | Клипсы для автомобилей 635 штук
